ගාන්ධි	PER	NNPA
පරපුර	O	NNN
නැවතත්	O	RB
පාලනය	O	NNN
පැමිණීම	O	VNN
මෙහි	O	PRP
දී	O	POST
ප්‍රධාන	O	JJ
කරුණ	O	NNPA
වේ	O	VFM
.	O	.
එහෙත්	O	RP
භාරතීය	ORG	NNPI
ජනතා	ORG	NNM
පක්ෂයට	ORG	NNN
ඉන්දියානු	NE	NNPI
ජනතාවට	O	NNM
පෙන්වා	O	VNF
දීමට	O	VPP
උත්සාහ	O	NVB
කළේ	O	VP
සෝනියා	PER	NNPA
ගාන්ධි	PER	NNPA
සම්ප්‍රදායික	O	JJ
ඉන්දියානු	NE	NNPI
ගැහැනියක්	O	NNF
නොවන	O	VP
බව	O	?
ය	O	RP
.	O	.
එහෙත්	O	RP
රජිව්	PER	NNPA
ගාන්ධිගේ	PER	NNPA
පුත්	O	NNM
රාහුල්	PER	NNPA
සහ	O	CC
දියණිය	O	NNF
ප්‍රියංකා	PER	NNPA
පමණක්	O	RP
නොව	O	?
රජිව්ගේ	PER	NNPA
සහෝදරයා	O	NNM
වූ	O	VP
සංජය	PER	NNPA
ගාන්ධිගේ	PER	NNPA
පුත්‍රයා	O	NNM
ද	O	RP
මෙවර	O	DET
දේශපාලන	O	NNN
කරලියට	O	NNN
පැමිණියහ	O	VFM
.	O	.
ආසියාවේ	LOC	NNPI
පවතින	O	VP
සම්ප්‍රදායික	O	JJ
පවුල්	O	NNN
වාදය	O	NNN
මතු	O	?
වුණු	O	VP
අවස්ථාවක්	O	NNN
වුව	O	VNF
කොංග්‍රසයේ	ORG	NNN
ජයග්‍රහණයට	O	NNN
ප්‍රධාන	O	JJ
සාධකය	O	NNN
ලෙස	O	POST
එය	O	PRP
පමණක්	O	RP
බල	O	NVB
නොපෑව	O	VP
ද	O	RP
"	O	"
ගාන්ධි	PER	NNPA
"	O	"
යන	O	?
නාමයේ	O	NNN
මතකය	O	NNN
ඉන්දියානු	NE	NNPI
ජනතාව	O	NNM
අමතක	O	JVB
නොකරති	O	VFM
.	O	.
රාහුල්	PER	NNPA
-	O	:
ප්‍රියංකා	PER	NNPA
සොයුරු	O	NNM
-	O	:
සොයුරින්	O	NNF
කෙරෙහි	O	POST
විශ්වාසයක්	O	NNN
ජනතාව	O	NNM
තුළ	O	POST
තිබිණි	O	NFM
.	O	.
අලුත්	O	JJ
ආණ්ඩුවේ	O	NNN
අභියෝග	O	NNN
ඉන්දීය	ORG	NNPI
කොංග්‍රස්	ORG	NNPI
පක්ෂයත්	ORG	NNN
,	O	,
වාමාංශික	ORG	JJ
පක්ෂයත්	ORG	NNN
එක්ව	O	CC
ගොඩ	O	JVB
නගන	O	VP
සන්ධාන	O	NNN
ආණ්ඩුවට	O	NNN
අභියෝග	O	NNN
රැසක්	O	NNN
ඇත	O	VFM
.	O	.
භාරතීය	NE	NNPI
ජනතාවගේ	O	NNM
මෙතෙක්	O	RB
නොවිසඳුණු	O	VP
මූලික	O	JJ
ගැටලුවලට	O	NNN
විසැඳුම්	O	NNN
ඔව්හු	O	PRP
අපේක්ෂා	O	NVB
කරති	O	VFM
.	O	.
හැටහත්කෝටි	O	QFNUM
පනස්	O	QFNUM
ලක්ෂයක	O	QFNUM
ඡන්ද	O	NNN
දායක	O	NVB
පිරිසක්	O	NNM
ලියාපදිංචි	O	NVB
වී	O	VNF
සිටින	O	VP
ඉන්දියාවේ	LOC	NNPI
කොංග්‍රසයේ	ORG	NNN
ගමන	O	NNN
රැඳී	O	VNF
ඇත්තේ	O	VP
ද	O	RP
වජ්පායිට	PER	NNPA
ජනතාව	O	NNM
ඉගැන්	O	?
වූ	O	VP
පාඩම්	O	NVB
මතයි	O	?
.	O	.
තම	O	PRP
තමන්ගේ	O	PRP
මනදොළ	O	NVB
සපුරා	O	VNF
ගන්නට	O	VNN
ගිය	O	VP
හොත්	O	CC
කොංග්‍රසය	ORG	NNN
ද	O	RP
එළියට	O	NVB
යවන්නට	O	VNN
ඉන්දීය	NE	NNPI
ජනතාව	O	NNM
සූදානම්	O	NVB
ය	O	RP
.	O	.
එය	O	PRP
අපේ	O	PRP
රටට	O	NNN
ද	O	RP
පොදු	O	JJ
ය	O	RP
.	O	.
අපේ	O	PRP
රටේ	O	NNN
අලුත්	O	JJ
ආණ්ඩුවට	O	NNN
ද	O	RP
ඒ	O	DET
හා	O	CC
සමාන	O	JJ
අභියෝග	O	NNN
රැසක්	O	NNN
ඇත	O	VFM
.	O	.
ආණ්ඩුවක්	O	NNN
ජනතාව	O	NNM
ප්‍රතික්ෂේප	O	NVB
කළේ	O	VP
ඇයිද	O	?
යන්න	O	?
සලකා	O	VNF
බලා	O	VNF
ඊට	O	RP
විකල්ප	O	JJ
ව	O	RP
සාර්ථක	O	JJ
හා	O	CC
සැබෑ	O	JJ
විසැඳුම්	O	NNN
ලබා	O	VNF
නොදුණහොත්	O	VNF
විකල්ප	O	JJ
ආණ්ඩුවක්	O	NNN
නැවත	O	RB
කරලියට	O	NNN
රැගෙන	O	VNF
ඒමට	O	VNN
ජනතාව	O	NNM
පසුබට	O	JVB
වන්නේ	O	VP
ද	O	RP
නැත	O	VFM
.	O	.
සුමිත්	PER	NNPA
මායාදුන්නේ	PER	NNPA
ඉන්දීය	NE	NNPI
දේශපාලන	O	NNN
ඉන්ගම්මාරුවේ	O	NNPI
ශ්‍රී	LOC	NNPI
ලංකා	LOC	NNPI
ගැළපීම	O	VNN
ඉන්දීය	NE	NNPI
මැතිවරණයේ	O	NNN
ප්‍රතිඵලය	O	NNN
මෙන්ම	O	POST
නව	O	JJ
අගමැති	O	NNM
පදවියත්	O	NNN
ආකස්මික	O	JJ
සම්ප්‍රාප්තියක්	O	NNN
සේ	O	POST
ගත	O	VP
හැකි	O	?
ය	O	RP
.	O	.
එලෙස	O	RB
ම	O	RP
මේ	O	DET
නව	O	JJ
පරිවර්තනය	O	NVB
ඉදිරියේ	O	POST
ඇති	O	VP
අභියෝගයන්	O	NNN
ද	O	RP
සුළු	O	JJ
-	O	:
පටු	O	JJ
නොවේ	O	VFM
.	O	.
දුප්පතුන්ට	O	NNM
සංවර්ධනයේ	O	NNN
ප්‍රතිලාභ	O	NNN
ලබා	O	VNF
දීමත්	O	VNN
,	O	,
දේශපාලන	O	NNN
ස්ථාවරත්වය	O	NNN
රැක	O	VNF
ගැනීමත්	O	VNN
,	O	,
ඉන්දු	NE	NNPI
–	O	:
පාකිස්තානු	NE	NNPI
සාම	O	NNN
සාකච්ඡා	O	NNN
ඉදිරිය	O	POST
ගෙනැ	O	VNF
යාමත්	O	VNN
බරපතළ	O	JJ
අභියෝග	O	NNN
වේ	O	VFM
.	O	.
ලංකාවේ	LOC	NNPI
දේශපාලන	O	NNN
පසුබිමත්	O	JVB
මීට	O	PRP
සමාන	O	JJ
නොවේ	O	VFM
ද	O	RP
?	O	.
ලන්ඩන්	LOC	NNPI
විත්ති	O	NNN
සුමිත්	PER	NNPA
කඩවතගේ	PER	NNPA
ලන්ඩන්	LOC	NNPI
නුවර	O	NNN
සිට	O	POST
.	O	.
බ්‍රිතාන්‍ය	LOC	NNPI
මහා	LOC	JJ
පුස්තකාලයේ	LOC	NNN
සැඟවී	O	VNF
ගිය	O	VP
අපේ	O	PRP
පොත්	O	NNN
පත්	O	?
බ්‍රිතාන්‍ය	LOC	NNPI
කෞතුකාගාරය	LOC	NNN
විසින්	O	POST
ශතක	O	QFNUM
ගණනාවක්	O	NNN
තිස්සේ	O	POST
රැස්	O	?
කරන	O	VP
ලද	O	VP
හා	O	CC
බ්‍රිතාන්‍ය	LOC	NNPI
මහා	LOC	JJ
පුස්තකාලය	LOC	NNN
විසින්	O	POST
ප්‍රතිසංස්කරණය	O	NVB
ලද	O	VP
සිංහල	O	NNPI
අත්	O	?
පිටපත්	O	NNN
හා	O	CC
මුද්‍රිත	O	NNN
පොත්	O	NNN
පත්	O	?
රාශියක්	O	NNN
තවමත්	O	RB
බ්‍රිතාන්‍ය	LOC	NNPI
පුස්තකාලය	LOC	NNN
තුළ	O	POST
සැඟවී	O	VNF
ඇති	O	VP
බව	O	?
නොරහසකි	O	?
.	O	.
මෙම	O	DET
ග්‍රන්ථ	O	NNN
කන්දරාව	O	NNN
අතර	O	POST
කීර්තියට	O	NNN
පත්	O	?
"	O	"
හියු	PER	NNPA
නෙවිල්	PER	NNPA
"	O	"
විසින්	O	POST
ගොනු	O	NVB
කරන	O	VP
ලද	O	VP
තල්	O	JJ
කොළයෙහි	O	NNN
ලියැවුණු	O	VP
අත්	O	?
පිටපත්	O	NNN
2227ක්	O	QFNUM
සහ	O	CC
තවත්	O	DET
ශත	O	QFNUM
වර්ෂ	O	NNN
ගණනාවකට	O	NNN
නෑකම්	O	NVB
කියන	O	VP
ග්‍රන්ථ	O	NNN
රාශියක්	O	NNN
පුස්	O	NVB
වදිමින්	O	VNF
පුස්තකාලයේ	O	NNN
මුල්ලක	O	NNN
ඇති	O	VP
බව	O	?
පසුගිය	O	JJ
දා	O	NNN
දැනගන්නට	O	VNN
ලැබිණි	O	VFM
.	O	.
බෞද්ධ	O	NNPI
දර්ශනය	O	NNN
ඉතිහාසයේ	O	NNN
නොයෙකුත්	O	JJ
ක්‍රියාකාරකම්	O	NNN
,	O	,
භූ	O	NNN
විද්‍යාව	O	NNN
,	O	,
ලෝ	O	NNN
විස්තර	O	NNN
,	O	,
මානව	O	JJ
විද්‍යාව	O	NNN
,	O	,
ව්‍යාකරණය	O	NNN
,	O	,
ශබ්ද	O	NNN
කෝෂ	O	JJ
විද්‍යාව	O	NNN
,	O	,
ඡන්දස්	O	NNN
ශාස්ත්‍රය	O	NNN
,	O	,
ලෞඛික	O	JJ
බෞද්ධ	O	NNPI
ගායනා	O	NVB
,	O	,
හෙළ	O	NNPI
වෙද	O	JJ
හෙදකම	O	NNN
,	O	,
පුරාණ	O	JJ
චාරිත්‍ර	O	NNN
වාරිත්‍ර	O	NNN
,	O	,
අපේ	O	PRP
ආචාර	O	NNN
ධර්ම	O	NNN
,	O	,
විද්‍යාව	O	NNN
හා	O	CC
මායා	O	NNN
,	O	,
